sym  r=-5.200 g=1.700 m0=1.000000 m1=0.000000 m2=0.761000 m3=0.000000 m4=0.729000 m5=0.000000 m6=0.781294 m7=0.000000 m8=0.897037 m9=0.000000 m10=1.078929 m11=0.000000 m12=1.341923 m13=0.000000 m14=1.711805 m15=0.000000 m16=2.227303 m17=0.000000 m18=2.944525 m19=0.000000 m20=3.943915 m21=0.000000 m22=5.340548 m23=0.000000 m24=7.299132 m25=0.000000 m26=10.055806 m27=0.000000 m28=13.949797 m29=0.000000 m30=19.469440 m31=0.000000 m32=27.319175
asym r=-5.200 g=1.750 m0=1.000000 m1=-1.185000 m2=1.473000 m3=-1.899753 m4=2.523490 m5=-3.431151 m6=4.754167 m7=-6.689653 m8=9.534406 m9=-13.736056 m10=19.971814 m11=-29.269023 m12=43.190522 m13=-64.119932 m14=95.701679 m15=-143.520738 m16=216.154461 m17=-326.802629 m18=495.817306 m19=-754.634576 m20=1151.893030 m21=-1762.967050 m22=2704.838277 m23=-4159.320469 m24=6409.368684 m25=-9895.902090 m26=15306.816433 m27=-23716.550813 m28=36805.114976 m29=-57202.108438 m30=89027.498839 m31=-138742.355336 m32=216488.189545
sym  r=-5.200 g=1.750 m0=1.000000 m1=0.000000 m2=0.740000 m3=0.000000 m4=0.692571 m5=0.000000 m6=0.725910 m7=0.000000 m8=0.815354 m9=0.000000 m10=0.959524 m11=0.000000 m12=1.167748 m13=0.000000 m14=1.457650 m15=0.000000 m16=1.855956 m17=0.000000 m18=2.401052 m19=0.000000 m20=3.147151 m21=0.000000 m22=4.170460 m23=0.000000 m24=5.578029 m25=0.000000 m26=7.520390 m27=0.000000 m28=10.209568 m29=0.000000 m30=13.944744 m31=0.000000 m32=19.148892
asym r=-5.300 g=1.850 m0=1.000000 m1=-1.086000 m2=1.267000 m3=-1.544326 m4=1.949142 m5=-2.522148 m6=3.330534 m7=-4.468777 m8=6.076212 m9=-8.353433 m10=11.592419 m11=-16.217265 m12=22.846414 m13=-32.383078 m14=46.149664 m15=-66.086102 m16=95.044002 m17=-137.222835 m18=198.817989 m19=-288.984582 m20=421.272729 m21=-615.767218 m22=902.280841 m23=-1325.125124 m24=1950.244698 m25=-2875.896438 m26=4248.649030 m27=-6287.374347 m28=9319.252296 m29=-13833.847554 m30=20564.390719 m31=-30610.038619 m32=45619.902775
sym  r=-5.300 g=1.850 m0=1.000000 m1=0.000000 m2=0.714000 m3=0.000000 m4=0.646514 m5=0.000000 m6=0.656016 m7=0.000000 m8=0.713474 m9=0.000000 m10=0.813063 m11=0.000000 m12=0.958237 m13=0.000000 m14=1.158361 m15=0.000000 m16=1.428343 m17=0.000000 m18=1.789557 m19=0.000000 m20=2.271664 m21=0.000000 m22=2.915384 m23=0.000000 m24=3.776415 m25=0.000000 m26=4.930921 m27=0.000000 m28=6.483134 m29=0.000000 m30=8.575890 m31=0.000000 m32=11.405230
asym r=-5.200 g=1.800 m0=1.000000 m1=-1.129000 m2=1.350000 m3=-1.684395 m4=2.170379 m5=-2.866925 m6=3.862233 m7=-5.286425 m8=7.331165 m9=-10.278892 m10=14.546707 m11=-20.752019 m12=29.811027 m13=-43.086588 m14=62.610645 m15=-91.419345 m16=134.058666 m17=-197.348456 m18=291.538520 m19=-432.060209 m20=642.183579 m21=-957.053057 m22=1429.823675 m23=-2141.001257 m24=3212.673993 m25=-4830.218193 m26=7275.434407 m27=-10977.178339 m28=16588.789224 m29=-25106.595507 m30=38051.432086 m31=-57746.882057 m32=87746.091261
sym  r=-5.200 g=1.800 m0=1.000000 m1=0.000000 m2=0.720000 m3=0.000000 m4=0.658889 m5=0.000000 m6=0.675864 m7=0.000000 m8=0.743149 m9=0.000000 m10=0.856236 m11=0.000000 m12=1.020293 m13=0.000000 m14=1.247051 m15=0.000000 m16=1.554768 m17=0.000000 m18=1.969581 m19=0.000000 m20=2.527958 m21=0.000000 m22=3.280351 m23=0.000000 m24=4.296395 m25=0.000000 m26=5.672225 m27=0.000000 m28=7.540705 m29=0.000000 m30=10.085751 m31=0.000000 m32=13.562372
asym r=-5.100 g=1.700 m0=1.000000 m1=-1.221000 m2=1.559000 m3=-2.058227 m4=2.794600 m5=-3.880052 m6=5.486799 m7=-7.876745 m8=11.451043 m9=-16.825252 m10=24.947337 m11=-37.281445 m12=56.095635 m13=-84.912816 m14=129.219004 m15=-197.577658 m16=303.385877 m17=-467.646628 m18=723.351399 m19=-1122.418707 m20=1746.693859 m21=-2725.409482 m22=4262.935391 m23=-6682.932265 m24=10498.683360 m25=-16525.242277 m26=26058.437444 m27=-41160.862198 m28=65119.208304 m29=-103176.234757 m30=163703.268376 m31=-260079.862828 m32=413709.414579
sym  r=-5.100 g=1.700 m0=1.000000 m1=0.000000 m2=0.747000 m3=0.000000 m4=0.707309 m5=0.000000 m6=0.750188 m7=0.000000 m8=0.852733 m9=0.000000 m10=1.015593 m11=0.000000 m12=1.250890 m13=0.000000 m14=1.580285 m15=0.000000 m16=2.036412 m17=0.000000 m18=2.666352 m19=0.000000 m20=3.537150 m21=0.000000 m22=4.743961 m23=0.000000 m24=6.421849 m25=0.000000 m26=8.762797 m27=0.000000 m28=12.040191 m29=0.000000 m30=16.644115 m31=0.000000 m32=23.132275
asym r=-5.100 g=1.750 m0=1.000000 m1=-1.163000 m2=1.426000 m3=-1.817769 m4=2.389837 m5=-3.218129 m6=4.417868 m7=-6.160426 m8=8.702279 m9=-12.427198 m10=17.911365 m11=-26.021922 m12=38.067520 m13=-56.028068 m14=82.906315 m15=-123.266589 m16=184.061704 m17=-275.904078 m18=415.022487 m19=-626.278367 m20=947.821407 m21=-1438.284135 m22=2187.913129 m23=-3335.809928 m24=5096.663329 m25=-7802.239935 m26=11965.842490 m27=-18382.542032 m28=28285.174666 m29=-43587.331432 m30=67262.157655 m31=-103933.321225 m32=160797.667406
sym  r=-5.100 g=1.750 m0=1.000000 m1=0.000000 m2=0.726000 m3=0.000000 m4=0.671800 m5=0.000000 m6=0.696883 m7=0.000000 m8=0.774968 m9=0.000000 m10=0.903080 m11=0.000000 m12=1.088405 m13=0.000000 m14=1.345516 m15=0.000000 m16=1.696729 m17=0.000000 m18=2.174031 m19=0.000000 m20=2.822335 m21=0.000000 m22=3.704307 m23=0.000000 m24=4.907271 m25=0.000000 m26=6.552985 m27=0.000000 m28=8.811466 m29=0.000000 m30=11.920527 m31=0.000000 m32=16.213407
sym  r=-5.200 g=1.850 m0=1.000000 m1=0.000000 m2=0.701000 m3=0.000000 m4=0.627730 m5=0.000000 m6=0.630567 m7=0.000000 m8=0.679163 m9=0.000000 m10=0.766603 m11=0.000000 m12=0.894968 m13=0.000000 m14=1.071740 m15=0.000000 m16=1.309194 m17=0.000000 m18=1.624998 m19=0.000000 m20=2.043595 m21=0.000000 m22=2.598335 m23=0.000000 m24=3.334509 m25=0.000000 m26=4.313563 m27=0.000000 m28=5.618902 m29=0.000000 m30=7.363870 m31=0.000000 m32=9.702710
asym r=-5.100 g=1.800 m0=1.000000 m1=-1.101000 m2=1.296000 m3=-1.596095 m4=2.033167 m5=-2.656413 m6=3.540973 m7=-4.796479 m8=6.583634 m9=-9.137007 m10=12.800078 m11=-18.076577 m12=25.707183 m13=-36.783399 m14=52.917407 m15=-76.495492 m16=111.056892 m17=-161.860850 m18=236.736555 m19=-347.358706 m20=511.164190 m21=-754.235434 m22=1115.642780 m23=-1653.991066 m24=2457.299202 m25=-3657.923962 m26=5455.124108 m27=-8149.206301 m28=12193.240969 m29=-18271.451817 m30=27418.128197 m31=-41198.141696 m32=61981.176438
sym  r=-5.100 g=1.800 m0=1.000000 m1=0.000000 m2=0.707000 m3=0.000000 m4=0.639681 m5=0.000000 m6=0.649496 m7=0.000000 m8=0.707172 m9=0.000000 m10=0.806955 m11=0.000000 m12=0.952416 m13=0.000000 m14=1.153071 m15=0.000000 m16=1.424042 m17=0.000000 m18=1.787010 m19=0.000000 m20=2.272095 m21=0.000000 m22=2.920693 m23=0.000000 m24=3.789510 m25=0.000000 m26=4.956199 m27=0.000000 m28=6.527190 m29=0.000000 m30=8.648558 m31=0.000000 m32=11.521102
sym  r=-5.100 g=1.850 m0=1.000000 m1=0.000000 m2=0.689000 m3=0.000000 m4=0.609986 m5=0.000000 m6=0.606612 m7=0.000000 m8=0.647083 m9=0.000000 m10=0.723501 m11=0.000000 m12=0.836759 m13=0.000000 m14=0.992731 m15=0.000000 m16=1.201464 m17=0.000000 m18=1.477526 m19=0.000000 m20=1.841028 m21=0.000000 m22=2.319260 m23=0.000000 m24=2.949031 m25=0.000000 m26=3.779899 m27=0.000000 m28=4.878596 m29=0.000000 m30=6.335062 m31=0.000000 m32=8.270675
